Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,,
Ground,power/10,10^(power/10),,,Sky,power/10,10^(power/10),Pon/Poff,Tsky*Pon/Poff - Tref,1-Pon/Poff,Tr,f,f/f0,1-f/f0,v=c*(1-f/f0),Tr,,,
1/9/2024,,,,,1/9/2024,,,,,,,,,,,,,,
 14:28:20,,,,, 14:33:25,,,,,,,,,,,,,,
1419500000,,,,,1419500000,,,,,,,,,,,,,,
1421500000,,,,,1421500000,,,,,,,,,,,,,,
3906.25,,,,,3906.25,,,,,,,,,,,,,,
218912,,,,,216544,,,,,,,,,,,,,,
-51.59,-5.159,0.00000693425806,,,-51.61,-5.161,0.000006902398038,1.00461579,-294.976921,-0.004615790278,63906.04929,1419500000,0.9993623294,0.0006376706088,191301.1826,63906.04929,,,-127395.1334
-52.43,-5.243,0.000005714786367,,,-52.44,-5.244,0.000005701642723,1.002305238,-294.9884738,-0.002305238078,127964.4288,1419503906,0.9993650795,0.0006349205143,190476.1543,127964.4288,,,-62511.72554
-52.27,-5.227,0.000005929253246,,,-52.26,-5.226,0.000005942921586,0.9977000638,-295.0114997,0.002299936177,-128269.4288,1419507813,0.9993678296,0.0006321704199,189651.126,-128269.4288,,,-317920.5547
-51.98,-5.198,0.000006338697113,,,-51.98,-5.198,0.000006338697113,1,-295,0,0,1419511719,0.9993705797,0.0006294203254,188826.0976,#DIV/0!,,,-188826.0976
-52.12,-5.212,0.000006137620052,,,-52.12,-5.212,0.000006137620052,1,-295,0,0,1419515625,0.9993733298,0.0006266702309,188001.0693,#DIV/0!,,,-188001.0693
-49.76,-4.976,0.00001056817509,,,-49.78,-4.978,0.00001051961874,1.00461579,-294.976921,-0.004615790278,63906.04929,1419519531,0.9993760799,0.0006239201365,187176.0409,63906.04929,,,-123269.9916
-52.27,-5.227,0.000005929253246,,,-52.27,-5.227,0.000005929253246,1,-295,0,0,1419523438,0.99937883,0.000621170042,186351.0126,#DIV/0!,,,-186351.0126
-52.01,-5.201,0.000006295061829,,,-52,-5.2,0.000006309573445,0.9977000638,-295.0114997,0.002299936177,-128269.4288,1419527344,0.9993815801,0.0006184199475,185525.9843,-128269.4288,,,-313795.413
-51.99,-5.199,0.000006324118514,,,-51.98,-5.198,0.000006338697113,0.9977000638,-295.0114997,0.002299936177,-128269.4288,1419531250,0.9993843301,0.0006156698531,184700.9559,-128269.4288,,,-312970.3847
-51.96,-5.196,0.000006367955209,,,-51.99,-5.199,0.000006324118514,1.006931669,-294.9653417,-0.006931668852,42553.29387,1419535156,0.9993870802,0.0006129197586,183875.9276,42553.29387,,,-141322.6337
-52.15,-5.215,0.000006095368972,,,-52.16,-5.216,0.000006081350013,1.002305238,-294.9884738,-0.002305238078,127964.4288,1419539063,0.9993898303,0.0006101696641,183050.8992,127964.4288,,,-55086.47047
-51.84,-5.184,0.000006546361741,,,-51.83,-5.183,0.000006561452663,0.9977000638,-295.0114997,0.002299936177,-128269.4288,1419542969,0.9993925804,0.0006074195696,182225.8709,-128269.4288,,,-310495.2997
-51.83,-5.183,0.000006561452663,,,-51.83,-5.183,0.000006561452663,1,-295,0,0,1419546875,0.9993953305,0.0006046694752,181400.8426,#DIV/0!,,,-181400.8426
-51.78,-5.178,0.000006637430704,,,-51.78,-5.178,0.000006637430704,1,-295,0,0,1419550781,0.9993980806,0.0006019193807,180575.8142,#DIV/0!,,,-180575.8142
-51.93,-5.193,0.000006412095766,,,-51.93,-5.193,0.000006412095766,1,-295,0,0,1419554688,0.9994008307,0.0005991692862,179750.7859,#DIV/0!,,,-179750.7859
-51.8,-5.18,0.00000660693448,,,-51.81,-5.181,0.000006591738952,1.002305238,-294.9884738,-0.002305238078,127964.4288,1419558594,0.9994035808,0.0005964191918,178925.7575,127964.4288,,,-50961.32877
-51.81,-5.181,0.000006591738952,,,-51.84,-5.184,0.000006546361741,1.006931669,-294.9653417,-0.006931668852,42553.29387,1419562500,0.9994063309,0.0005936690973,178100.7292,42553.29387,,,-135547.4353
-51.75,-5.175,0.000006683439176,,,-51.76,-5.176,0.000006668067692,1.002305238,-294.9884738,-0.002305238078,127964.4288,1419566406,0.999409081,0.0005909190028,177275.7009,127964.4288,,,-49311.27208
-51.82,-5.182,0.000006576578374,,,-51.82,-5.182,0.000006576578374,1,-295,0,0,1419570313,0.9994118311,0.0005881689084,176450.6725,#DIV/0!,,,-176450.6725
-51.57,-5.157,0.000006966265141,,,-51.59,-5.159,0.00000693425806,1.00461579,-294.976921,-0.004615790278,63906.04929,1419574219,0.9994145812,0.0005854188139,175625.6442,63906.04929,,,-111719.5949
-51.56,-5.156,0.000006982324041,,,-51.55,-5.155,0.00000699841996,0.9977000638,-295.0114997,0.002299936177,-128269.4288,1419578125,0.9994173313,0.0005826687194,174800.6158,-128269.4288,,,-303070.0446
-51.48,-5.148,0.000007112135137,,,-51.49,-5.149,0.00000709577768,1.002305238,-294.9884738,-0.002305238078,127964.4288,1419582031,0.9994200814,0.000579918625,173975.5875,127964.4288,,,-46011.15872
-51.59,-5.159,0.00000693425806,,,-51.6,-5.16,0.000006918309709,1.002305238,-294.9884738,-0.002305238078,127964.4288,1419585938,0.9994228315,0.0005771685305,173150.5591,127964.4288,,,-45186.13038
-51.41,-5.141,0.000007227698036,,,-51.41,-5.141,0.000007227698036,1,-295,0,0,1419589844,0.9994255816,0.000574418436,172325.5308,#DIV/0!,,,-172325.5308
-51.47,-5.147,0.000007128530301,,,-51.48,-5.148,0.000007112135137,1.002305238,-294.9884738,-0.002305238078,127964.4288,1419593750,0.9994283317,0.0005716683415,171500.5025,127964.4288,,,-43536.0737
-51.44,-5.144,0.000007177942913,,,-51.45,-5.145,0.000007161434102,1.002305238,-294.9884738,-0.002305238078,127964.4288,1419597656,0.9994310818,0.0005689182471,170675.4741,127964.4288,,,-42711.04536
-51.68,-5.168,0.000006792036326,,,-51.66,-5.166,0.000006823386941,0.9954054174,-295.0229729,0.004594582648,-64211.04929,1419601563,0.9994338318,0.0005661681526,169850.4458,-64211.04929,,,-234061.4951
-51.4,-5.14,0.000007244359601,,,-51.39,-5.139,0.000007261059574,0.9977000638,-295.0114997,0.002299936177,-128269.4288,1419605469,0.9994365819,0.0005634180581,169025.4174,-128269.4288,,,-297294.8462
-51.3,-5.13,0.000007413102413,,,-51.3,-5.13,0.000007413102413,1,-295,0,0,1419609375,0.999439332,0.0005606679637,168200.3891,#DIV/0!,,,-168200.3891
-51.29,-5.129,0.000007430191379,,,-51.32,-5.132,0.000007379042301,1.006931669,-294.9653417,-0.006931668852,42553.29387,1419613281,0.9994420821,0.0005579178692,167375.3608,42553.29387,,,-124822.0669
-51.76,-5.176,0.000006668067692,,,-51.75,-5.175,0.000006683439176,0.9977000638,-295.0114997,0.002299936177,-128269.4288,1419617188,0.9994448322,0.0005551677747,166550.3324,-128269.4288,,,-294819.7612
-51.63,-5.163,0.0000068706844,,,-51.62,-5.162,0.000006886522963,0.9977000638,-295.0114997,0.002299936177,-128269.4288,1419621094,0.9994475823,0.0005524176803,165725.3041,-128269.4288,,,-293994.7328
-51.29,-5.129,0.000007430191379,,,-51.31,-5.131,0.000007396052751,1.00461579,-294.976921,-0.004615790278,63906.04929,1419625000,0.9994503324,0.0005496675858,164900.2757,63906.04929,,,-100994.2264
-51.55,-5.155,0.00000699841996,,,-51.56,-5.156,0.000006982324041,1.002305238,-294.9884738,-0.002305238078,127964.4288,1419628906,0.9994530825,0.0005469174913,164075.2474,127964.4288,,,-36110.81863
-51.62,-5.162,0.000006886522963,,,-51.6,-5.16,0.000006918309709,0.9954054174,-295.0229729,0.004594582648,-64211.04929,1419632813,0.9994558326,0.0005441673969,163250.2191,-64211.04929,,,-227461.2683
-51.2,-5.12,0.00000758577575,,,-51.19,-5.119,0.000007603262769,0.9977000638,-295.0114997,0.002299936177,-128269.4288,1419636719,0.9994585827,0.0005414173024,162425.1907,-128269.4288,,,-290694.6195
-51.17,-5.117,0.000007638357836,,,-51.19,-5.119,0.000007603262769,1.00461579,-294.976921,-0.004615790278,63906.04929,1419640625,0.9994613328,0.0005386672079,161600.1624,63906.04929,,,-97694.11308
-51.09,-5.109,0.00000778036551,,,-51.09,-5.109,0.00000778036551,1,-295,0,0,1419644531,0.9994640829,0.0005359171134,160775.134,#DIV/0!,,,-160775.134
